52364E1A,Ch.1[C],Ch.2[%]
2020-06-04 06:51:34,27.7,76
2020-06-04 06:52:34,27.7,76
2020-06-04 06:53:34,27.7,76
2020-06-04 06:54:34,27.8,76
2020-06-04 06:55:34,27.8,76
2020-06-04 06:56:34,27.7,76
2020-06-04 06:57:34,27.8,76
2020-06-04 06:58:34,27.7,76
2020-06-04 06:59:34,27.7,76
2020-06-04 07:00:34,27.8,76
2020-06-04 07:01:34,27.8,75
2020-06-04 07:02:34,27.8,75
2020-06-04 07:03:34,27.8,75
2020-06-04 07:04:34,27.7,75
2020-06-04 07:05:34,27.7,75
2020-06-04 07:06:34,27.7,75
2020-06-04 07:07:34,27.7,75
2020-06-04 07:08:34,27.7,76
2020-06-04 07:09:34,27.7,76
2020-06-04 07:10:34,27.8,76
2020-06-04 07:11:34,27.7,75
2020-06-04 07:12:34,27.8,75
2020-06-04 07:13:34,27.7,75
2020-06-04 07:14:34,27.7,76
2020-06-04 07:15:34,27.7,76
2020-06-04 07:16:34,27.8,76
2020-06-04 07:17:34,27.8,76
2020-06-04 07:18:34,27.8,76
2020-06-04 07:19:34,27.8,76
2020-06-04 07:20:34,27.8,76
2020-06-04 07:21:34,27.8,76
2020-06-04 07:22:34,27.8,76
2020-06-04 07:23:34,27.8,76
2020-06-04 07:24:34,27.8,76
2020-06-04 07:25:34,27.8,76
2020-06-04 07:26:34,27.8,76
2020-06-04 07:27:34,27.8,76
2020-06-04 07:28:34,27.8,76
2020-06-04 07:29:34,27.8,76
2020-06-04 07:30:34,27.8,76
2020-06-04 07:31:34,27.8,76
2020-06-04 07:32:34,27.8,76
2020-06-04 07:33:34,27.8,76
2020-06-04 07:34:34,27.8,76
2020-06-04 07:35:34,27.8,76
2020-06-04 07:36:34,27.8,75
2020-06-04 07:37:34,27.8,74
2020-06-04 07:38:34,27.7,73
2020-06-04 07:39:34,27.7,72
2020-06-04 07:40:34,27.6,72
2020-06-04 07:41:34,27.6,70
2020-06-04 07:42:34,27.5,69
2020-06-04 07:43:34,27.3,68
2020-06-04 07:44:34,27.0,67
2020-06-04 07:45:34,26.6,66
2020-06-04 07:46:34,26.3,66
2020-06-04 07:47:34,25.9,65
2020-06-04 07:48:34,25.7,65
2020-06-04 07:49:34,25.4,65
2020-06-04 07:50:34,25.2,65
2020-06-04 07:51:34,24.9,65
2020-06-04 07:52:34,24.7,64
2020-06-04 07:53:34,24.5,64
2020-06-04 07:54:34,24.4,63
2020-06-04 07:55:34,24.3,63
2020-06-04 07:56:34,24.1,63
2020-06-04 07:57:34,24.0,63
2020-06-04 07:58:34,23.9,63
2020-06-04 07:59:34,23.8,63
2020-06-04 08:00:34,23.7,63
2020-06-04 08:01:34,23.6,63
2020-06-04 08:02:34,23.6,63
2020-06-04 08:03:34,23.4,63
2020-06-04 08:04:34,23.5,64
2020-06-04 08:05:34,23.5,64
2020-06-04 08:06:34,23.5,65
2020-06-04 08:07:34,23.5,65
2020-06-04 08:08:34,23.6,65
2020-06-04 08:09:34,23.6,64
2020-06-04 08:10:34,23.6,65
2020-06-04 08:11:34,23.7,65
2020-06-04 08:12:34,23.7,65
2020-06-04 08:13:34,23.6,64
2020-06-04 08:14:34,23.6,64
2020-06-04 08:15:34,23.7,64
2020-06-04 08:16:34,23.7,64
2020-06-04 08:17:34,23.6,64
2020-06-04 08:18:34,23.6,64
2020-06-04 08:19:34,23.7,64
2020-06-04 08:20:34,23.7,64
2020-06-04 08:21:34,23.6,64
2020-06-04 08:22:34,23.7,64
2020-06-04 08:23:34,23.6,65
2020-06-04 08:24:34,23.7,64
2020-06-04 08:25:34,23.8,64
2020-06-04 08:26:34,23.7,64
2020-06-04 08:27:34,23.7,64
2020-06-04 08:28:34,23.6,64
2020-06-04 08:29:34,23.6,64
2020-06-04 08:30:34,23.6,64
2020-06-04 08:31:34,23.6,64
2020-06-04 08:32:34,23.6,64
2020-06-04 08:33:34,23.6,64
2020-06-04 08:34:34,23.6,64
2020-06-04 08:35:34,23.6,64
2020-06-04 08:36:34,23.5,63
2020-06-04 08:37:34,23.4,63
2020-06-04 08:38:34,23.4,65
2020-06-04 08:39:34,23.4,64
2020-06-04 08:40:34,23.4,65
2020-06-04 08:41:34,23.4,65
2020-06-04 08:42:34,23.4,64
2020-06-04 08:43:34,23.4,64
2020-06-04 08:44:34,23.4,65
2020-06-04 08:45:34,23.4,64
2020-06-04 08:46:34,23.4,65
2020-06-04 08:47:34,23.4,65
2020-06-04 08:48:34,23.4,64
2020-06-04 08:49:34,23.3,64
2020-06-04 08:50:34,23.4,65
2020-06-04 08:51:34,23.4,65
2020-06-04 08:52:34,23.4,64
2020-06-04 08:53:34,23.4,64
2020-06-04 08:54:34,23.4,64
2020-06-04 08:55:34,23.4,64
2020-06-04 08:56:34,23.3,64
2020-06-04 08:57:34,23.4,64
2020-06-04 08:58:34,23.4,65
2020-06-04 08:59:34,23.4,65
2020-06-04 09:00:34,23.4,65
2020-06-04 09:01:34,23.5,66
2020-06-04 09:02:34,23.5,66
2020-06-04 09:03:34,23.6,66
2020-06-04 09:04:34,23.6,66
2020-06-04 09:05:34,23.6,66
2020-06-04 09:06:34,23.6,66
2020-06-04 09:07:34,23.6,66
2020-06-04 09:08:34,23.6,66
2020-06-04 09:09:34,23.6,65
2020-06-04 09:10:34,23.6,65
2020-06-04 09:11:34,23.6,65
2020-06-04 09:12:34,23.6,65
2020-06-04 09:13:34,23.6,65
2020-06-04 09:14:34,23.6,65
2020-06-04 09:15:34,23.5,65
2020-06-04 09:16:34,23.5,65
2020-06-04 09:17:34,23.5,65
2020-06-04 09:18:34,23.5,65
2020-06-04 09:19:34,23.5,65
2020-06-04 09:20:34,23.5,65
2020-06-04 09:21:34,23.5,65
2020-06-04 09:22:34,23.5,65
2020-06-04 09:23:34,23.5,65
2020-06-04 09:24:34,23.5,65
2020-06-04 09:25:34,23.5,65
2020-06-04 09:26:34,23.5,65
2020-06-04 09:27:34,23.5,65
2020-06-04 09:28:34,23.5,65
2020-06-04 09:29:34,23.5,65
2020-06-04 09:30:34,23.5,65
2020-06-04 09:31:34,23.5,65
2020-06-04 09:32:34,23.5,65
2020-06-04 09:33:34,23.5,65
2020-06-04 09:34:34,23.5,65
2020-06-04 09:35:34,23.5,65
2020-06-04 09:36:34,23.5,65
2020-06-04 09:37:34,23.5,65
2020-06-04 09:38:34,23.5,66
2020-06-04 09:39:34,23.5,66
2020-06-04 09:40:34,23.5,66
2020-06-04 09:41:34,23.5,67
2020-06-04 09:42:34,23.5,67
2020-06-04 09:43:34,23.6,67
2020-06-04 09:44:34,23.6,66
2020-06-04 09:45:34,23.6,66
2020-06-04 09:46:34,23.6,66
2020-06-04 09:47:34,23.6,66
2020-06-04 09:48:34,23.6,66
2020-06-04 09:49:34,23.6,66
2020-06-04 09:50:34,23.6,66
2020-06-04 09:51:34,23.6,66
2020-06-04 09:52:34,23.5,66
2020-06-04 09:53:34,23.5,66
2020-06-04 09:54:34,23.5,66
2020-06-04 09:55:34,23.5,65
2020-06-04 09:56:34,23.6,66
2020-06-04 09:57:34,23.6,66
2020-06-04 09:58:34,23.5,66
2020-06-04 09:59:34,23.5,66
2020-06-04 10:00:34,23.5,66
2020-06-04 10:01:34,23.5,66
2020-06-04 10:02:34,23.5,66
2020-06-04 10:03:34,23.5,66
2020-06-04 10:04:34,23.5,66
2020-06-04 10:05:34,23.5,66
2020-06-04 10:06:34,23.4,65
2020-06-04 10:07:34,23.5,66
2020-06-04 10:08:34,23.4,66
2020-06-04 10:09:34,23.4,65
2020-06-04 10:10:34,23.5,65
2020-06-04 10:11:34,23.4,66
2020-06-04 10:12:34,23.4,66
2020-06-04 10:13:34,23.4,66
2020-06-04 10:14:34,23.4,66
2020-06-04 10:15:34,23.4,66
2020-06-04 10:16:34,23.4,66
2020-06-04 10:17:34,23.4,66
2020-06-04 10:18:34,23.4,66
2020-06-04 10:19:34,23.4,66
2020-06-04 10:20:34,23.4,66
2020-06-04 10:21:34,23.4,66
2020-06-04 10:22:34,23.4,66
2020-06-04 10:23:34,23.4,66
2020-06-04 10:24:34,23.5,66
2020-06-04 10:25:34,23.4,66
2020-06-04 10:26:34,23.4,66
2020-06-04 10:27:34,23.4,66
2020-06-04 10:28:34,23.4,66
2020-06-04 10:29:34,23.4,66
2020-06-04 10:30:34,23.4,66
2020-06-04 10:31:34,23.4,66
2020-06-04 10:32:34,23.4,66
2020-06-04 10:33:34,23.4,66
2020-06-04 10:34:34,23.4,66
2020-06-04 10:35:34,23.4,66
2020-06-04 10:36:34,23.4,66
2020-06-04 10:37:34,23.4,66
2020-06-04 10:38:34,23.4,66
2020-06-04 10:39:34,23.4,66
2020-06-04 10:40:34,23.4,66
